*** New Session***
07-09-2021 11:57:42
Product Name: HRM_pro
5715125 : Rx fail
5715375 : Rx fail
5715625 : Rx: [84][00][76][9C][A6][A0][2A][36]
5715859 : Rx: [84][00][76][9C][A6][A0][2A][36]
5716109 : Rx: [84][00][76][9C][A6][A0][2A][36]
5716359 : Rx: [84][00][76][9C][A6][A0][2A][36]
5716609 : Rx: [04][00][A6][A0][3B][A5][2B][36]
5716843 : Rx fail
5717093 : Rx: [04][00][A6][A0][3B][A5][2B][36]
5717343 : Rx fail
5717593 : Rx: [84][00][A6][A0][3B][A5][2B][36]
5717843 : Rx: [84][00][3B][A5][92][A9][2C][37]
5718078 : Tx: [84][00][3B][A5][92][A9][2C][37]
5718328 : Rx: [84][00][3B][A5][92][A9][2C][37]
5718578 : Rx: [04][00][3B][A5][92][A9][2C][37]
5718828 : Rx fail
5719062 : Rx: [04][00][92][A9][B6][AD][2D][37]
5719312 : Rx fail
5719562 : Rx: [84][00][92][A9][B6][AD][2D][37]
5719812 : Rx fail
5720046 : Rx: [F9][4B][65][06][2B][B2][2E][37]
5720296 : Rx fail
5720546 : Rx: [04][00][B6][AD][2B][B2][2E][37]
5720796 : Rx: [04][00][B6][AD][2B][B2][2E][37]
5721046 : Rx: [04][00][2B][B2][AA][B6][2F][36]
5721281 : Rx: [04][00][2B][B2][AA][B6][2F][36]
5721531 : Rx: [84][00][2B][B2][AA][B6][2F][36]
5721781 : Rx fail
5722031 : Rx: [84][00][2B][B2][AA][B6][2F][36]
5722265 : Rx: [84][00][AA][B6][F9][BA][30][36]
5722515 : Rx fail
5722765 : Rx: [04][00][AA][B6][F9][BA][30][36]
5723015 : Rx: [04][00][AA][B6][F9][BA][30][36]
5723250 : Rx: [79][14][2E][53][75][BF][31][36]
5723500 : Rx fail
5723750 : Rx: [84][00][F9][BA][75][BF][31][36]
5724000 : Rx: [84][00][F9][BA][75][BF][31][36]
5724000 : Rx: [84][00][0B][FE][F4][01][31][36]
5724000 : Channel closed
