timestmp;smpleCnt;grnCnt;led2;led3;grn2Cnt;irCnt;redCnt;hr3;rr5;spo2
11:34:30.888971;53;147129;117758;129850;186795;524159;524159;60.0;0.0;0.0
11:34:30.898833;54;146867;117783;129856;186904;524159;524159;60.0;0.0;0.0
11:34:30.903857;55;146768;117822;129862;187166;524159;524159;60.0;0.0;0.0
11:34:30.908879;56;146809;117868;129884;187535;524159;524159;60.0;0.0;0.0
11:34:30.918966;57;146922;117902;129894;187950;524159;524159;60.0;0.0;0.0
11:34:31.088901;58;147078;117931;129894;188394;524159;524159;60.0;0.0;0.0
11:34:31.104369;59;147235;117956;129896;188809;524159;524159;60.0;0.0;0.0
11:34:31.108911;60;147388;117975;129911;189190;524159;524159;60.0;0.0;0.0
11:34:31.119006;61;147540;117991;129916;189548;524159;524159;60.0;0.0;0.0
11:34:31.119006;62;147763;118012;129922;189955;524159;524159;60.0;0.0;0.0
11:34:31.289241;63;148023;118057;129937;190368;524159;524159;60.0;0.0;0.0
11:34:31.298856;64;148346;118091;129955;190828;524159;524159;60.0;0.0;0.0
11:34:31.309069;65;148724;118142;129981;191314;524159;524159;60.0;0.0;0.0
11:34:31.324019;66;149017;118146;129973;191732;524159;524159;60.0;0.0;0.0
11:34:31.329048;67;148242;117878;129767;191155;524159;524159;60.0;0.0;0.0
11:34:31.489036;68;146272;117509;129511;189378;524159;524159;60.0;0.0;0.0
11:34:31.498927;69;144367;117299;129379;187549;524159;524159;60.0;0.0;0.0
11:34:31.504629;70;143086;117210;129333;186271;524159;524159;60.0;0.0;0.0
11:34:31.509159;71;142362;117185;129315;185520;524159;524159;60.0;0.0;0.0
11:34:31.519029;72;142059;117193;129317;185213;524159;524159;60.0;0.0;0.0
11:34:31.688929;73;141955;117203;129303;185143;524159;524159;60.0;0.0;0.0
11:34:31.698906;74;141724;117149;129252;184933;524159;524159;60.0;0.0;0.0
11:34:31.709054;75;141363;117071;129186;184602;524159;524159;60.0;0.0;0.0
11:34:31.709054;76;141098;117011;129136;184331;524159;524159;60.0;0.0;0.0
11:34:31.719038;77;141092;117009;129123;184312;524159;524159;60.0;0.0;0.0
11:34:31.888960;78;141293;117037;129132;184510;524159;524159;60.0;0.0;0.0
11:34:31.898877;79;141626;117078;129150;184861;524159;524159;60.0;0.0;0.0
11:34:31.904850;80;142011;117124;129167;185265;524159;524159;60.0;0.0;0.0
11:34:31.908870;81;142400;117150;129184;185717;524159;524159;60.0;0.0;0.0
11:34:31.918826;82;142759;117180;129201;186171;524159;524159;60.0;0.0;0.0
11:34:32.089173;83;143094;117196;129203;186621;524159;524159;60.0;0.0;0.0
11:34:32.098912;84;143450;117229;129219;187101;524159;524159;60.0;0.0;0.0
11:34:32.109202;85;143839;117269;129231;187591;524159;524159;60.0;0.0;0.0
11:34:32.109202;86;144318;117321;129268;188166;524159;524159;60.0;0.0;0.0
11:34:32.118906;87;144813;117374;129299;188761;524159;524159;60.0;0.0;0.0
11:34:32.289039;88;144972;117302;129220;189024;524159;524159;60.0;0.0;0.0
11:34:32.299288;89;143973;116989;129009;188098;524159;524159;59.0;0.0;0.0
11:34:32.309114;90;142481;116727;128837;186587;524159;524159;59.0;0.0;0.0
11:34:32.309114;91;141425;116635;128786;185448;524159;524159;59.0;0.0;0.0
11:34:32.318879;92;140935;116603;128770;184817;524159;524159;59.0;0.0;0.0
11:34:32.488981;93;140920;116641;128784;184684;524159;524159;59.0;0.0;0.0
11:34:32.499195;94;141163;116692;128817;184859;524159;524159;59.0;0.0;0.0
11:34:32.508974;95;141265;116680;128817;184970;524159;524159;59.0;0.0;0.0
11:34:32.508974;96;141159;116641;128780;184864;524159;524159;59.0;0.0;0.0
11:34:32.519348;97;141043;116621;128770;184725;524159;524159;59.0;0.0;0.0
11:34:32.689334;98;141101;116643;128782;184744;524159;524159;59.0;0.0;0.0
11:34:32.705289;99;141329;116672;128795;184930;524159;524159;59.0;0.0;0.0
11:34:32.709312;100;141673;116719;128840;185269;524159;524159;59.0;0.0;0.0
11:34:32.709312;101;142081;116777;128867;185701;524159;524159;59.0;0.0;0.0
11:34:32.718913;102;142508;116833;128903;186167;524159;524159;59.0;0.0;0.0
11:34:32.889298;103;142911;116879;128938;186627;524159;524159;59.0;939.7;0.0
11:34:32.905823;104;143308;116928;128961;187091;524159;524159;59.0;0.0;0.0
11:34:32.913872;105;143712;116972;128988;187555;524159;524159;59.0;0.0;0.0
11:34:32.913872;106;143962;116950;128969;187857;524159;524159;59.0;0.0;0.0
11:34:32.923914;107;143329;116743;128811;187232;524159;524159;59.0;0.0;0.0
11:34:33.089230;108;142142;116524;128656;185956;524159;524159;59.0;0.0;0.0
11:34:33.106182;109;141247;116423;128595;184885;524159;524159;59.0;0.0;0.0
11:34:33.109235;110;140897;116423;128592;184350;524159;524159;59.0;0.0;0.0
11:34:33.119157;111;141028;116477;128615;184362;524159;524159;59.0;0.0;0.0
11:34:33.129349;112;141433;116528;128645;184676;524159;524159;59.0;0.0;0.0
11:34:33.289282;113;141684;116528;128628;184899;524159;524159;59.0;0.0;0.0
11:34:33.299130;114;141728;116490;128585;184945;524159;524159;59.0;0.0;0.0
11:34:33.308818;115;141715;116465;128564;184929;524159;524159;59.0;0.0;0.0
11:34:33.308818;116;141848;116469;128557;185041;524159;524159;59.0;0.0;0.0
11:34:33.324235;117;142138;116520;128583;185303;524159;524159;59.0;0.0;0.0
11:34:33.499011;118;142550;116585;128630;185697;524159;524159;59.0;0.0;0.0
11:34:33.506430;119;143032;116667;128680;186185;524159;524159;59.0;0.0;0.0
11:34:33.508967;120;143507;116737;128731;186694;524159;524159;59.0;0.0;0.0
11:34:33.519263;121;143983;116797;128770;187247;524159;524159;59.0;0.0;0.0
11:34:33.519263;122;144436;116848;128800;187791;524159;524159;59.0;0.0;0.0
11:34:33.689035;123;144907;116883;128805;188359;524159;524159;59.0;0.0;0.0
11:34:33.704133;124;145269;116874;128783;188849;524159;524159;59.0;0.0;0.0
11:34:33.709205;125;144785;116654;128607;188414;524159;524159;59.0;894.8;0.0
11:34:33.719039;126;143485;116362;128409;187005;524159;524159;59.0;0.0;0.0
11:34:33.728906;127;142353;116208;128305;185642;524159;524159;59.0;0.0;0.0
11:34:33.888906;128;141789;116175;128276;184819;524159;524159;59.0;0.0;0.0
11:34:33.898878;129;141690;116186;128277;184528;524159;524159;59.0;0.0;0.0
11:34:33.909065;130;141964;116235;128301;184661;524159;524159;59.0;0.0;0.0
11:34:33.909065;131;142244;116254;128309;184859;524159;524159;59.0;0.0;0.0
11:34:33.918945;132;142330;116228;128286;184904;524159;524159;59.0;0.0;0.0
11:34:34.089271;133;142292;116209;128275;184833;524159;524159;59.0;0.0;0.0
11:34:34.098756;134;142380;116219;128288;184887;524159;524159;59.0;0.0;0.0
11:34:34.109124;135;142638;116262;128302;185099;524159;524159;59.0;0.0;0.0
11:34:34.119214;136;143033;116315;128343;185478;524159;524159;59.0;0.0;0.0
11:34:34.119214;137;143486;116394;128383;185946;524159;524159;59.0;0.0;0.0
11:34:34.289071;138;143944;116466;128449;186457;524159;524159;59.0;0.0;0.0
11:34:34.304024;139;144388;116535;128501;186992;524159;524159;59.0;0.0;0.0
11:34:34.314124;140;144811;116589;128543;187511;524159;524159;59.0;0.0;0.0
11:34:34.319172;141;145234;116644;128576;188028;524159;524159;59.0;0.0;0.0
11:34:34.329169;142;145664;116696;128616;188558;524159;524159;59.0;0.0;0.0
11:34:34.488805;143;146130;116757;128654;189138;524159;524159;59.0;0.0;0.0
11:34:34.499233;144;146366;116720;128621;189487;524159;524159;59.0;0.0;0.0
11:34:34.509244;145;145637;116484;128442;188798;524159;524159;59.0;0.0;0.0
11:34:34.519201;146;144403;116258;128295;187436;524159;524159;59.0;0.0;0.0
11:34:34.524206;147;143519;116168;128243;186369;524159;524159;59.0;863.8;0.0
11:34:34.699094;148;143153;116160;128246;185822;524159;524159;59.0;0.0;0.0
11:34:34.699094;149;143201;116214;128275;185760;524159;524159;59.0;0.0;0.0
11:34:34.709046;150;143495;116267;128303;185998;524159;524159;59.0;0.0;0.0
11:34:34.721247;151;143728;116276;128308;186223;524159;524159;59.0;0.0;0.0
11:34:34.726763;152;143766;116253;128288;186273;524159;524159;59.0;0.0;0.0
11:34:34.899063;153;143790;116242;128273;186260;524159;524159;59.0;0.0;0.0
11:34:34.907160;154;143942;116270;128294;186418;524159;524159;59.0;0.0;0.0
11:34:34.909197;155;144253;116316;128323;186753;524159;524159;59.0;0.0;0.0
11:34:34.919171;156;144649;116376;128361;187178;524159;524159;59.0;0.0;0.0
11:34:34.929186;157;145115;116442;128399;187724;524159;524159;59.0;0.0;0.0
11:34:35.089021;158;145565;116509;128442;188286;524159;524159;59.0;0.0;0.0
11:34:35.099208;159;146005;116569;128481;188844;524159;524159;59.0;0.0;0.0
11:34:35.108841;160;146439;116617;128515;189389;524159;524159;59.0;0.0;0.0
