timestmp;smpleCnt;grnCnt;led2;led3;grn2Cnt;irCnt;redCnt;hr3;rr5;spo2
11:27:59.429092;127;131206;121086;128962;175751;524159;524159;59.0;0.0;0.0
11:27:59.594563;128;129961;120792;128758;174585;524159;524159;59.0;0.0;0.0
11:27:59.600869;129;128839;120651;128669;173454;524159;524159;59.0;0.0;0.0
11:27:59.608709;130;128196;120600;128640;172737;524159;524159;59.0;0.0;0.0
11:27:59.615273;131;127917;120592;128623;172358;524159;524159;59.0;0.0;0.0
11:27:59.622173;132;127916;120613;128623;172284;524159;524159;59.0;0.0;0.0
11:27:59.796581;133;128014;120625;128620;172338;524159;524159;59.0;0.0;0.0
11:27:59.806575;134;127984;120587;128584;172309;524159;524159;59.0;0.0;0.0
11:27:59.815569;135;127849;120550;128547;172152;524159;524159;59.0;0.0;0.0
11:27:59.821564;136;127814;120534;128526;172084;524159;524159;59.0;0.0;0.0
11:27:59.824564;137;127928;120551;128528;172171;524159;524159;59.0;0.0;0.0
11:27:59.994678;138;128186;120588;128543;172410;524159;524159;59.0;0.0;0.0
11:28:00.001678;139;128524;120630;128566;172752;524159;524159;59.0;922.9;0.0
11:28:00.009674;140;128885;120673;128584;173128;524159;524159;59.0;0.0;0.0
11:28:00.026667;141;129244;120698;128590;173511;524159;524159;59.0;0.0;0.0
11:28:00.031660;142;129579;120730;128604;173901;524159;524159;59.0;0.0;0.0
11:28:00.195191;143;129897;120750;128605;174272;524159;524159;59.0;0.0;0.0
11:28:00.202190;144;130234;120777;128614;174652;524159;524159;59.0;0.0;0.0
11:28:00.210182;145;130607;120814;128636;175072;524159;524159;59.0;0.0;0.0
11:28:00.217522;146;130996;120862;128661;175528;524159;524159;59.0;0.0;0.0
11:28:00.224127;147;131417;120906;128684;176015;524159;524159;59.0;0.0;0.0
11:28:00.401979;148;131846;120969;128715;176523;524159;524159;59.0;0.0;0.0
11:28:00.415970;149;132276;121021;128744;177037;524159;524159;59.0;0.0;0.0
11:28:00.419963;150;132716;121068;128766;177567;524159;524159;59.0;0.0;0.0
11:28:00.422961;151;133142;121115;128796;178085;524159;524159;59.0;0.0;0.0
11:28:00.425959;152;133195;121015;128703;178259;524159;524159;59.0;0.0;0.0
11:28:00.595679;153;132335;120736;128503;177494;524159;524159;59.0;0.0;0.0
11:28:00.602679;154;131246;120547;128378;176428;524159;524159;59.0;0.0;0.0
11:28:00.609682;155;130511;120492;128338;175670;524159;524159;59.0;0.0;0.0
11:28:00.617683;156;130210;120484;128332;175311;524159;524159;59.0;0.0;0.0
11:28:00.627676;157;130177;120512;128343;175219;524159;524159;59.0;0.0;0.0
11:28:00.796678;158;130340;120540;128356;175351;524159;524159;59.0;0.0;0.0
11:28:00.803678;159;130427;120546;128348;175453;524159;524159;59.0;0.0;0.0
11:28:00.810673;160;130356;120503;128320;175414;524159;524159;59.0;0.0;0.0
11:28:00.817685;161;130293;120481;128286;175352;524159;524159;59.0;875.1;0.0
11:28:00.824680;162;130380;120490;128293;175427;524159;524159;59.0;0.0;0.0
11:28:01.000505;163;130595;120530;128318;175662;524159;524159;59.0;0.0;0.0
