timestmp;smpleCnt;grnCnt;led2;led3;grn2Cnt;irCnt;redCnt;hr3;rr5;spo2
11:37:28.607695;83;125890;115891;128974;163692;524159;524159;60.0;0.0;0.0
11:37:28.617874;84;125670;115860;128946;163536;524159;524159;60.0;0.0;0.0
11:37:28.617874;85;125652;115854;128932;163581;524159;524159;60.0;0.0;0.0
11:37:28.627942;86;125778;115871;128944;163791;524159;524159;60.0;0.0;0.0
11:37:28.637731;87;126007;115898;128947;164100;524159;524159;60.0;0.0;0.0
11:37:28.807749;88;126281;115921;128950;164481;524159;524159;60.0;764.1;0.0
11:37:28.817917;89;126547;115930;128952;164848;524159;524159;59.0;0.0;0.0
11:37:28.827969;90;126782;115942;128945;165196;524159;524159;59.0;0.0;0.0
11:37:28.827969;91;127018;115952;128944;165550;524159;524159;59.0;0.0;0.0
11:37:28.837872;92;127264;115964;128954;165902;524159;524159;59.0;0.0;0.0
11:37:29.008086;93;127590;115999;128967;166328;524159;524159;59.0;0.0;0.0
11:37:29.017954;94;127954;116031;128971;166774;524159;524159;59.0;0.0;0.0
11:37:29.027705;95;127929;115924;128879;166860;524159;524159;59.0;0.0;0.0
11:37:29.038097;96;126599;115583;128637;165656;524159;524159;59.0;0.0;0.0
11:37:29.048443;97;124724;115274;128431;163764;524159;524159;59.0;0.0;0.0
11:37:29.207818;98;123363;115117;128324;162268;524159;524159;59.0;0.0;0.0
11:37:29.217937;99;122642;115034;128273;161418;524159;524159;59.0;0.0;0.0
11:37:29.217937;100;122371;115020;128253;161051;524159;524159;59.0;0.0;0.0
11:37:29.228020;101;122426;115019;128242;161071;524159;524159;59.0;0.0;0.0
11:37:29.237623;102;122434;114992;128206;161070;524159;524159;59.0;0.0;0.0
11:37:29.407668;103;122262;114913;128140;160918;524159;524159;59.0;0.0;0.0
11:37:29.418111;104;122054;114852;128088;160713;524159;524159;59.0;0.0;0.0
11:37:29.427702;105;121992;114837;128068;160644;524159;524159;59.0;0.0;0.0
11:37:29.437923;106;122134;114841;128066;160790;524159;524159;59.0;0.0;0.0
11:37:29.437923;107;122447;114861;128066;161124;524159;524159;59.0;0.0;0.0
11:37:29.607862;108;122822;114889;128071;161526;524159;524159;59.0;0.0;0.0
11:37:29.617913;109;123254;114919;128077;161989;524159;524159;59.0;0.0;0.0
11:37:29.627808;110;123655;114942;128084;162460;524159;524159;59.0;0.0;0.0
11:37:29.627808;111;124022;114964;128087;162910;524159;524159;59.0;978.6;0.0
11:37:29.638100;112;124373;114987;128090;163345;524159;524159;59.0;0.0;0.0
11:37:29.817801;113;124749;115016;128095;163812;524159;524159;59.0;0.0;0.0
11:37:29.822808;114;125152;115052;128110;164331;524159;524159;59.0;0.0;0.0
11:37:29.827844;115;125604;115104;128132;164896;524159;524159;59.0;0.0;0.0
11:37:29.827844;116;126088;115156;128148;165502;524159;524159;59.0;0.0;0.0
11:37:29.837686;117;126602;115209;128179;166145;524159;524159;59.0;0.0;0.0
11:37:30.017855;118;126970;115193;128152;166647;524159;524159;59.0;0.0;0.0
11:37:30.022862;119;126244;114917;127945;166077;524159;524159;59.0;0.0;0.0
11:37:30.027901;120;124632;114598;127719;164512;524159;524159;59.0;0.0;0.0
11:37:30.032907;121;123275;114424;127595;163101;524159;524159;59.0;0.0;0.0
11:37:30.037932;122;122547;114356;127548;162293;524159;524159;59.0;0.0;0.0
11:37:30.217740;123;122305;114350;127527;161976;524159;524159;59.0;0.0;0.0
11:37:30.217740;124;122423;114371;127537;162075;524159;524159;59.0;0.0;0.0
11:37:30.227827;125;122600;114377;127530;162289;524159;524159;59.0;0.0;0.0
11:37:30.227827;126;122603;114331;127481;162324;524159;524159;59.0;0.0;0.0
11:37:30.237685;127;122483;114281;127432;162233;524159;524159;59.0;0.0;0.0
11:37:30.412777;128;122464;114265;127407;162229;524159;524159;59.0;0.0;0.0
11:37:30.417853;129;122625;114279;127412;162419;524159;524159;59.0;0.0;0.0
11:37:30.427795;130;122940;114325;127424;162772;524159;524159;59.0;0.0;0.0
11:37:30.427795;131;123358;114358;127444;163247;524159;524159;59.0;0.0;0.0
11:37:30.437724;132;123808;114405;127467;163801;524159;524159;59.0;824.6;0.0
11:37:30.618022;133;124246;114442;127484;164346;524159;524159;59.0;0.0;0.0
11:37:30.627954;134;124666;114479;127492;164900;524159;524159;59.0;0.0;0.0
11:37:30.637971;135;125052;114511;127494;165425;524159;524159;59.0;0.0;0.0
11:37:30.637971;136;125449;114552;127512;165960;524159;524159;59.0;0.0;0.0
11:37:30.637971;137;125873;114589;127527;166511;524159;524159;59.0;0.0;0.0
11:37:30.807680;138;126334;114648;127558;167098;524159;524159;59.0;0.0;0.0
11:37:30.823097;139;126827;114713;127597;167735;524159;524159;61.0;0.0;0.0
11:37:30.827631;140;127356;114777;127634;168405;524159;524159;61.0;0.0;0.0
11:37:30.837717;141;127892;114840;127669;169095;524159;524159;61.0;0.0;0.0
11:37:30.842725;142;128067;114768;127596;169419;524159;524159;61.0;0.0;0.0
11:37:31.017902;143;127164;114488;127381;168619;524159;524159;61.0;0.0;0.0
11:37:31.027679;144;125905;114271;127240;167350;524159;524159;62.0;0.0;0.0
11:37:31.027679;145;125103;114195;127193;166500;524159;524159;62.0;0.0;0.0
11:37:31.027679;146;124846;114201;127191;166173;524159;524159;62.0;0.0;0.0
11:37:31.037621;147;124978;114255;127216;166274;524159;524159;62.0;0.0;0.0
11:37:31.207890;148;125313;114303;127245;166607;524159;524159;62.0;0.0;0.0
11:37:31.217988;149;125498;114305;127237;166846;524159;524159;64.0;0.0;0.0
11:37:31.228021;150;125466;114264;127195;166855;524159;524159;64.0;0.0;0.0
11:37:31.237879;151;125425;114251;127177;166834;524159;524159;64.0;0.0;0.0
11:37:31.237879;152;125525;114256;127188;166966;524159;524159;64.0;0.0;0.0
11:37:31.418091;153;125808;114304;127209;167283;524159;524159;64.0;0.0;0.0
11:37:31.427891;154;126206;114363;127237;167714;524159;524159;65.0;842.9;0.0
11:37:31.427891;155;126664;114433;127282;168224;524159;524159;65.0;0.0;0.0
11:37:31.438116;156;127108;114486;127305;168746;524159;524159;65.0;0.0;0.0
11:37:31.447813;157;127526;114542;127335;169254;524159;524159;65.0;0.0;0.0
11:37:31.612786;158;127911;114574;127348;169733;524159;524159;65.0;0.0;0.0
11:37:31.617819;159;128292;114612;127378;170194;524159;524159;67.0;0.0;0.0
11:37:31.627709;160;128683;114665;127409;170677;524159;524159;67.0;0.0;0.0
11:37:31.637791;161;129116;114727;127437;171218;524159;524159;67.0;0.0;0.0
11:37:31.637791;162;129581;114799;127476;171795;524159;524159;67.0;0.0;0.0
11:37:31.817944;163;130085;114859;127525;172401;524159;524159;67.0;0.0;0.0
11:37:31.827863;164;130102;114769;127441;172552;524159;524159;67.0;0.0;0.0
11:37:31.838127;165;129177;114522;127270;171681;524159;524159;67.0;0.0;0.0
11:37:31.838127;166;128086;114368;127164;170583;524159;524159;67.0;0.0;0.0
11:37:31.838127;167;127492;114334;127143;169909;524159;524159;67.0;0.0;0.0
11:37:32.008099;168;127371;114365;127169;169720;524159;524159;67.0;0.0;0.0
11:37:32.022984;169;127620;114438;127218;169920;524159;524159;67.0;0.0;0.0
11:37:32.028025;170;127926;114494;127244;170222;524159;524159;67.0;0.0;0.0
11:37:32.037707;171;128030;114480;127238;170339;524159;524159;67.0;0.0;0.0
11:37:32.051428;172;127955;114448;127211;170256;524159;524159;67.0;0.0;0.0
11:37:32.217610;173;127908;114449;127203;170227;524159;524159;67.0;0.0;0.0
11:37:32.227594;174;128016;114482;127227;170365;524159;524159;67.0;0.0;0.0
11:37:32.237904;175;128277;114533;127264;170650;524159;524159;67.0;0.0;0.0
11:37:32.247890;176;128622;114591;127287;171031;524159;524159;67.0;0.0;0.0
11:37:32.251946;177;129016;114648;127329;171477;524159;524159;67.0;931.8;0.0
11:37:32.417646;178;129382;114703;127358;171907;524159;524159;67.0;0.0;0.0
11:37:32.417646;179;129740;114739;127379;172347;524159;524159;68.0;0.0;0.0
11:37:32.427858;180;130068;114782;127401;172757;524159;524159;68.0;0.0;0.0
11:37:32.437843;181;130391;114830;127428;173177;524159;524159;68.0;0.0;0.0
11:37:32.437843;182;130744;114882;127461;173625;524159;524159;68.0;0.0;0.0
11:37:32.617834;183;131086;114918;127475;174044;524159;524159;68.0;0.0;0.0
11:37:32.627938;184;130795;114759;127356;173828;524159;524159;68.0;0.0;0.0
11:37:32.637982;185;129624;114505;127178;172660;524159;524159;68.0;0.0;0.0
11:37:32.642988;186;128452;114363;127075;171380;524159;524159;68.0;0.0;0.0
11:37:32.642988;187;127797;114312;127044;170564;524159;524159;68.0;0.0;0.0
11:37:32.817783;188;127584;114317;127038;170188;524159;524159;68.0;0.0;0.0
11:37:32.817783;189;127717;114365;127073;170199;524159;524159;68.0;0.0;0.0
11:37:32.827664;190;127915;114387;127085;170328;524159;524159;68.0;0.0;0.0
11:37:32.837724;191;127930;114362;127053;170333;524159;524159;68.0;0.0;0.0
11:37:32.837724;192;127809;114329;127029;170190;524159;524159;68.0;0.0;0.0
11:37:33.018024;193;127756;114318;127020;170109;524159;524159;68.0;0.0;0.0
11:37:33.018024;194;127872;114336;127036;170189;524159;524159;68.0;0.0;0.0
11:37:33.027989;195;128126;114383;127056;170412;524159;524159;68.0;0.0;0.0
11:37:33.037865;196;128463;114433;127088;170745;524159;524159;68.0;0.0;0.0
11:37:33.048050;197;128825;114479;127112;171145;524159;524159;68.0;0.0;0.0
11:37:33.218046;198;129180;114524;127136;171538;524159;524159;68.0;0.0;0.0
11:37:33.223052;199;129514;114558;127158;171906;524159;524159;68.0;0.0;0.0
11:37:33.238012;200;129828;114589;127170;172275;524159;524159;68.0;0.0;0.0
11:37:33.247655;201;130146;114629;127195;172654;524159;524159;63.0;943.1;0.0
11:37:33.247655;202;130479;114670;127223;173059;524159;524159;63.0;0.0;0.0
11:37:33.417789;203;130851;114723;127251;173507;524159;524159;63.0;0.0;0.0
11:37:33.417789;204;131252;114781;127287;173988;524159;524159;63.0;0.0;0.0
11:37:33.427643;205;131637;114839;127308;174459;524159;524159;63.0;0.0;0.0
11:37:33.437629;206;132047;114895;127353;174959;524159;524159;63.0;0.0;0.0
11:37:33.437629;207;132471;114948;127385;175473;524159;524159;63.0;0.0;0.0
11:37:33.617801;208;132376;114827;127284;175485;524159;524159;63.0;0.0;0.0
11:37:33.627759;209;131142;114521;127057;174239;524159;524159;63.0;0.0;0.0
11:37:33.637730;210;129615;114297;126913;172568;524159;524159;63.0;0.0;0.0
11:37:33.637730;211;128581;114211;126875;171282;524159;524159;63.0;0.0;0.0
11:37:33.647900;212;128069;114178;126845;170505;524159;524159;63.0;0.0;0.0
11:37:33.818137;213;127904;114195;126852;170116;524159;524159;63.0;0.0;0.0
11:37:33.837901;214;127976;114216;126863;170035;524159;524159;63.0;0.0;0.0
11:37:33.848152;215;127972;114204;126848;169903;524159;524159;63.0;0.0;0.0
11:37:33.848152;216;127802;114149;126809;169611;524159;524159;63.0;0.0;0.0
11:37:33.854098;217;127601;114115;126785;169305;524159;524159;63.0;0.0;0.0
11:37:34.017939;218;127567;114116;126784;169169;524159;524159;63.0;0.0;0.0
11:37:34.027817;219;127730;114151;126805;169250;524159;524159;63.0;0.0;0.0
11:37:34.037937;220;127993;114196;126825;169463;524159;524159;63.0;0.0;0.0
11:37:34.052991;221;128307;114227;126846;169747;524159;524159;63.0;0.0;0.0
11:37:34.054016;222;128611;114266;126858;170060;524159;524159;63.0;0.0;0.0
11:37:34.217839;223;128890;114298;126890;170361;524159;524159;63.0;0.0;0.0
11:37:34.227892;224;129141;114331;126903;170643;524159;524159;63.0;0.0;0.0
11:37:34.227892;225;129391;114357;126919;170928;524159;524159;63.0;0.0;0.0
11:37:34.247932;226;129670;114383;126938;171240;524159;524159;63.0;0.0;0.0
11:37:34.254178;227;130003;114435;126970;171618;524159;524159;63.0;0.0;0.0
11:37:34.418020;228;130353;114487;127007;172041;524159;524159;63.0;0.0;0.0
11:37:34.418020;229;130714;114547;127038;172497;524159;524159;63.0;0.0;0.0
11:37:34.427997;230;131102;114611;127074;172993;524159;524159;63.0;0.0;0.0
11:37:34.438092;231;131495;114663;127119;173494;524159;524159;63.0;0.0;0.0
11:37:34.448037;232;131870;114719;127148;173981;524159;524159;63.0;0.0;0.0
11:37:34.617789;233;132268;114779;127191;174479;524159;524159;63.0;0.0;0.0
11:37:34.627738;234;132417;114740;127153;174736;524159;524159;63.0;0.0;0.0
11:37:34.637753;235;131513;114457;126943;173824;524159;524159;63.0;0.0;0.0
11:37:34.637753;236;130045;114202;126781;172192;524159;524159;62.0;0.0;0.0
11:37:34.647825;237;128917;114097;126712;170794;524159;524159;62.0;0.0;0.0
