timestmp;smpleCnt;grnCnt;led2;led3;grn2Cnt;irCnt;redCnt;hr3;rr5;spo2
11:31:36.479935;58;166209;121478;130357;212657;524159;524159;60.0;0.0;0.0
11:31:36.490263;59;166137;121539;130396;212514;524159;524159;60.0;0.0;0.0
11:31:36.499816;60;166268;121609;130446;212609;524159;524159;60.0;0.0;0.0
11:31:36.509903;61;166359;121624;130455;212663;524159;524159;60.0;0.0;0.0
11:31:36.514909;62;166279;121598;130432;212548;524159;524159;60.0;0.0;0.0
11:31:36.680170;63;166125;121569;130408;212343;524159;524159;60.0;0.0;0.0
11:31:36.690308;64;166003;121565;130412;212190;524159;524159;60.0;0.0;0.0
11:31:36.699842;65;165984;121589;130423;212150;524159;524159;60.0;0.0;0.0
11:31:36.699842;66;166046;121625;130450;212225;524159;524159;60.0;0.0;0.0
11:31:36.709987;67;166197;121670;130482;212409;524159;524159;60.0;0.0;0.0
11:31:36.879936;68;166399;121724;130520;212670;524159;524159;60.0;0.0;0.0
11:31:36.890208;69;166608;121764;130543;212960;524159;524159;60.0;0.0;0.0
11:31:36.899986;70;166832;121801;130571;213264;524159;524159;60.0;0.0;0.0
11:31:36.899986;71;166985;121799;130570;213490;524159;524159;60.0;0.0;0.0
11:31:36.910112;72;166666;121656;130441;213125;524159;524159;60.0;0.0;0.0
11:31:37.089861;73;165901;121478;130332;212214;524159;524159;60.0;0.0;0.0
11:31:37.089861;74;165202;121414;130296;211370;524159;524159;60.0;0.0;0.0
11:31:37.099814;75;164875;121431;130309;210959;524159;524159;60.0;0.0;0.0
11:31:37.110039;76;164896;121502;130360;210958;524159;524159;60.0;0.0;0.0
11:31:37.110039;77;165102;121571;130415;211200;524159;524159;60.0;0.0;0.0
11:31:37.280036;78;165233;121578;130412;211363;524159;524159;60.0;0.0;0.0
11:31:37.289985;79;165187;121547;130377;211355;524159;524159;60.0;0.0;0.0
11:31:37.300042;80;165105;121526;130370;211280;524159;524159;60.0;0.0;0.0
11:31:37.310114;81;165058;121527;130369;211236;524159;524159;60.0;0.0;0.0
11:31:37.320184;82;165091;121543;130375;211294;524159;524159;60.0;0.0;0.0
11:31:37.485313;83;165202;121587;130412;211458;524159;524159;60.0;0.0;0.0
11:31:37.490370;84;165376;121636;130445;211698;524159;524159;60.0;0.0;0.0
11:31:37.500123;85;165590;121677;130479;211996;524159;524159;60.0;0.0;0.0
11:31:37.505131;86;165839;121719;130505;212318;524159;524159;60.0;0.0;0.0
11:31:37.510183;87;166041;121723;130505;212586;524159;524159;60.0;0.0;0.0
11:31:37.685017;88;165749;121560;130376;212259;524159;524159;60.0;0.0;0.0
11:31:37.690080;89;164958;121383;130260;211319;524159;524159;59.0;0.0;0.0
11:31:37.699990;90;164228;121307;130216;210445;524159;524159;59.0;0.0;0.0
11:31:37.709903;91;163833;121317;130226;209964;524159;524159;59.0;0.0;0.0
11:31:37.709903;92;163796;121374;130274;209884;524159;524159;59.0;0.0;0.0
11:31:37.884962;93;163964;121445;130315;210042;524159;524159;59.0;0.0;0.0
11:31:37.895029;94;164082;121449;130327;210128;524159;524159;59.0;0.0;0.0
11:31:37.905103;95;164013;121422;130305;210010;524159;524159;59.0;757.3;0.0
11:31:37.910144;96;163873;121398;130292;209810;524159;524159;59.0;0.0;0.0
11:31:37.919947;97;163785;121400;130298;209664;524159;524159;59.0;0.0;0.0
11:31:38.079945;98;163803;121424;130317;209626;524159;524159;59.0;0.0;0.0
11:31:38.094952;99;163891;121463;130355;209685;524159;524159;59.0;0.0;0.0
11:31:38.105006;100;164057;121515;130391;209846;524159;524159;59.0;0.0;0.0
11:31:38.110058;101;164239;121557;130425;210035;524159;524159;59.0;0.0;0.0
11:31:38.110058;102;164455;121601;130442;210274;524159;524159;59.0;0.0;0.0
11:31:38.280119;103;164348;121497;130374;210134;524159;524159;59.0;0.0;0.0
11:31:38.290223;104;163522;121277;130218;209126;524159;524159;59.0;0.0;0.0
11:31:38.300073;105;162475;121129;130118;207830;524159;524159;59.0;0.0;0.0
11:31:38.310064;106;161740;121086;130097;206893;524159;524159;59.0;0.0;0.0
11:31:38.310064;107;161401;121103;130122;206421;524159;524159;59.0;0.0;0.0
11:31:38.479830;108;161354;121148;130158;206313;524159;524159;59.0;0.0;0.0
11:31:38.489982;109;161412;121174;130182;206317;524159;524159;59.0;0.0;0.0
11:31:38.500114;110;161371;121158;130154;206233;524159;524159;59.0;0.0;0.0
11:31:38.510059;111;161195;121115;130125;206004;524159;524159;59.0;0.0;0.0
11:31:38.510059;112;161022;121100;130115;205789;524159;524159;59.0;0.0;0.0
11:31:38.679915;113;160962;121111;130115;205692;524159;524159;59.0;718.4;0.0
11:31:38.700312;114;161001;121131;130130;205732;524159;524159;59.0;0.0;0.0
11:31:38.710175;115;161131;121166;130155;205884;524159;524159;59.0;0.0;0.0
11:31:38.720269;116;161297;121204;130186;206085;524159;524159;59.0;0.0;0.0
11:31:38.730318;117;161494;121232;130198;206322;524159;524159;59.0;0.0;0.0
11:31:38.880307;118;161660;121234;130204;206547;524159;524159;59.0;0.0;0.0
11:31:38.890346;119;161388;121087;130084;206230;524159;524159;59.0;0.0;0.0
11:31:38.899970;120;160367;120842;129908;205045;524159;524159;59.0;0.0;0.0
11:31:38.910332;121;159273;120692;129815;203751;524159;524159;59.0;0.0;0.0
11:31:38.910332;122;158559;120643;129785;202873;524159;524159;59.0;0.0;0.0
11:31:39.080194;123;158214;120639;129785;202404;524159;524159;59.0;0.0;0.0
11:31:39.089910;124;158145;120664;129801;202257;524159;524159;59.0;0.0;0.0
11:31:39.100114;125;158183;120670;129799;202255;524159;524159;59.0;0.0;0.0
11:31:39.109889;126;158096;120634;129771;202149;524159;524159;59.0;0.0;0.0
11:31:39.109889;127;157909;120600;129744;201919;524159;524159;59.0;0.0;0.0
11:31:39.280202;128;157761;120577;129738;201743;524159;524159;59.0;0.0;0.0
11:31:39.290329;129;157732;120593;129735;201727;524159;524159;59.0;688.2;0.0
11:31:39.300039;130;157801;120613;129748;201823;524159;524159;59.0;0.0;0.0
11:31:39.310328;131;157963;120636;129771;202027;524159;524159;59.0;0.0;0.0
11:31:39.310328;132;158156;120669;129782;202276;524159;524159;59.0;0.0;0.0
11:31:39.480002;133;158362;120691;129798;202559;524159;524159;59.0;0.0;0.0
11:31:39.490233;134;158564;120699;129796;202814;524159;524159;59.0;0.0;0.0
11:31:39.500137;135;158495;120600;129719;202762;524159;524159;59.0;0.0;0.0
11:31:39.500137;136;157703;120380;129560;201864;524159;524159;59.0;0.0;0.0
11:31:39.510072;137;156642;120214;129464;200642;524159;524159;59.0;0.0;0.0
11:31:39.679992;138;155840;120157;129429;199735;524159;524159;59.0;0.0;0.0
11:31:39.690053;139;155459;120141;129430;199238;524159;524159;61.0;0.0;0.0
11:31:39.700220;140;155374;120170;129450;199093;524159;524159;61.0;0.0;0.0
11:31:39.709946;141;155430;120184;129459;199109;524159;524159;61.0;0.0;0.0
11:31:39.709946;142;155372;120148;129439;199033;524159;524159;61.0;0.0;0.0
11:31:39.890080;143;155204;120114;129415;198833;524159;524159;61.0;0.0;0.0
11:31:39.900100;144;155081;120088;129400;198672;524159;524159;63.0;0.0;0.0
11:31:39.910276;145;155065;120101;129401;198639;524159;524159;63.0;0.0;0.0
11:31:39.910276;146;155157;120118;129411;198743;524159;524159;63.0;642.3;0.0
11:31:39.919958;147;155335;120148;129434;198964;524159;524159;63.0;0.0;0.0
11:31:40.090123;148;155542;120176;129453;199234;524159;524159;63.0;0.0;0.0
11:31:40.110088;149;155755;120211;129461;199530;524159;524159;64.0;0.0;0.0
11:31:40.110088;150;155946;120214;129475;199802;524159;524159;64.0;0.0;0.0
11:31:40.110088;151;155787;120103;129378;199653;524159;524159;64.0;0.0;0.0
11:31:40.119872;152;154987;119899;129231;198751;524159;524159;64.0;0.0;0.0
11:31:40.289845;153;154090;119766;129158;197685;524159;524159;64.0;0.0;0.0
11:31:40.289845;154;153541;119728;129138;196997;524159;524159;66.0;0.0;0.0
11:31:40.299985;155;153353;119743;129142;196718;524159;524159;66.0;0.0;0.0
11:31:40.310024;156;153419;119783;129172;196750;524159;524159;66.0;0.0;0.0
11:31:40.310024;157;153521;119788;129168;196850;524159;524159;66.0;0.0;0.0
11:31:40.489790;158;153517;119763;129142;196841;524159;524159;66.0;0.0;0.0
11:31:40.489790;159;153420;119734;129135;196753;524159;524159;67.0;0.0;0.0
11:31:40.499823;160;153386;119726;129128;196736;524159;524159;67.0;0.0;0.0
11:31:40.510049;161;153473;119748;129138;196867;524159;524159;67.0;619.3;0.0
11:31:40.510049;162;153635;119777;129160;197090;524159;524159;67.0;0.0;0.0
11:31:40.690184;163;153851;119811;129184;197394;524159;524159;67.0;0.0;0.0
11:31:40.690184;164;154102;119840;129194;197764;524159;524159;68.0;0.0;0.0
11:31:40.700171;165;154339;119872;129213;198130;524159;524159;68.0;0.0;0.0
11:31:40.710171;166;154595;119906;129235;198501;524159;524159;68.0;0.0;0.0
11:31:40.710171;167;154673;119859;129189;198661;524159;524159;68.0;0.0;0.0
11:31:40.890017;168;154118;119665;129056;198079;524159;524159;68.0;0.0;0.0
11:31:40.890017;169;153219;119508;128952;197064;524159;524159;69.0;0.0;0.0
11:31:40.899869;170;152567;119447;128922;196318;524159;524159;69.0;0.0;0.0
11:31:40.909927;171;152256;119455;128938;195931;524159;524159;69.0;0.0;0.0
11:31:40.909927;172;152278;119490;128950;195934;524159;524159;69.0;0.0;0.0
11:31:41.090241;173;152430;119514;128965;196098;524159;524159;69.0;0.0;0.0
11:31:41.105033;174;152481;119498;128960;196184;524159;524159;70.0;0.0;0.0
11:31:41.105033;175;152416;119475;128930;196129;524159;524159;70.0;0.0;0.0
11:31:41.110058;176;152368;119461;128918;196116;524159;524159;70.0;0.0;0.0
11:31:41.110058;177;152434;119478;128937;196221;524159;524159;70.0;637.7;0.0
11:31:41.290059;178;152608;119513;128958;196454;524159;524159;70.0;0.0;0.0
